order_number,order_date,item_name,quantity,product_price,total_products
6946,03/10/2017 19:36,Chapati,1,1.95,1
6938,02/10/2017 18:07,Chapati,1,1.95,4
6901,29/09/2017 19:52,Chapati,1,1.95,5
6855,26/09/2017 18:35,Chapati,1,1.95,3
6852,25/09/2017 19:20,Chapati,1,1.95,4
6795,21/09/2017 20:32,Puree,2,1.95,8
6794,21/09/2017 20:32,Chapati,1,1.95,4
6731,15/09/2017 18:52,Chapati,1,1.95,4
6724,15/09/2017 18:18,Chapati,1,1.95,7
6713,14/09/2017 19:15,Puree,1,1.95,8
6688,10/09/2017 18:24,Chapati,3,1.95,7
6603,02/09/2017 21:06,Chapati,1,1.95,6
6553,29/08/2017 20:03,Chapati,2,1.95,4
6465,22/08/2017 18:12,Puree,1,1.95,2
6435,19/08/2017 20:48,Chapati,1,1.95,15
6419,18/08/2017 19:07,Puree,1,1.95,6
6335,10/08/2017 19:39,Chapati,1,1.95,10
6324,09/08/2017 18:49,Chapati,2,1.95,5
6301,06/08/2017 18:01,Chapati,2,1.95,12
6295,05/08/2017 20:40,Chapati,5,1.95,4
6270,04/08/2017 19:15,Chapati,1,1.95,12
6220,29/07/2017 19:57,Chapati,1,1.95,7
6103,19/07/2017 18:25,Chapati,1,1.95,4
6070,16/07/2017 17:46,Puree,1,1.95,5
6044,14/07/2017 19:16,Chapati,1,1.95,5
5960,07/07/2017 19:04,Puree,1,1.95,8
5921,03/07/2017 22:01,Puree,1,1.95,4
5903,02/07/2017 18:51,Chapati,4,1.95,10
5902,02/07/2017 17:46,Chapati,1,1.95,9
5899,01/07/2017 22:18,Puree,2,1.95,3
5872,30/06/2017 18:51,Chapati,1,1.95,5
5780,23/06/2017 17:42,Chapati,1,1.95,7
5774,22/06/2017 21:36,Chapati,1,1.95,7
5753,18/06/2017 19:51,Chapati,1,1.95,4
5719,14/06/2017 21:48,Chapati,1,1.95,6
5715,14/06/2017 18:52,Chapati,1,1.95,6
5650,07/06/2017 17:17,Chapati,1,1.95,10
5626,04/06/2017 18:49,Puree,1,1.95,7
5618,04/06/2017 12:46,Chapati,3,1.95,5
5609,03/06/2017 18:55,Chapati,1,1.95,8
5549,28/05/2017 19:44,Chapati,3,1.95,5
5528,26/05/2017 21:34,Chapati,1,1.95,10
5503,24/05/2017 18:56,Puree,1,1.95,10
5502,24/05/2017 17:50,Puree,1,1.95,5
5483,20/05/2017 20:58,Chapati,2,1.95,7
5367,07/05/2017 21:53,Chapati,1,1.95,3
5344,06/05/2017 18:12,Puree,1,1.95,7
5340,05/05/2017 21:32,Chapati,2,1.95,7
5309,03/05/2017 17:24,Chapati,1,1.95,2
5308,02/05/2017 21:42,Chapati,1,1.95,6
5297,01/05/2017 18:40,Chapati,1,1.95,4
5294,30/04/2017 19:58,Chapati,1,1.95,8
5280,29/04/2017 19:59,Chapati,1,1.95,10
5275,29/04/2017 17:55,Puree,1,1.95,5
5258,28/04/2017 19:19,Chapati,1,1.95,9
5244,27/04/2017 21:24,Chapati,2,1.95,6
5222,26/04/2017 19:03,Puree,2,1.95,9
5172,21/04/2017 19:11,Chapati,1,1.95,6
5170,21/04/2017 18:46,Puree,2,1.95,4
5150,18/04/2017 19:41,Chapati,1,1.95,5
5099,15/04/2017 17:45,Chapati,2,1.95,14
5096,14/04/2017 20:13,Chapati,1,1.95,8
5052,11/04/2017 17:41,Puree,1,1.95,6
5022,08/04/2017 18:11,Chapati,1,1.95,14
4947,01/04/2017 17:54,Chapati,1,1.95,8
4940,31/03/2017 19:36,Puree,1,1.95,9
4923,30/03/2017 20:17,Puree,2,1.95,4
4903,27/03/2017 21:09,Chapati,2,1.95,6
4891,26/03/2017 18:14,Chapati,1,1.95,6
4878,25/03/2017 18:16,Chapati,1,1.95,7
4863,24/03/2017 19:37,Chapati,1,1.95,7
4861,24/03/2017 19:03,Chapati,1,1.95,5
4825,19/03/2017 18:34,Chapati,3,1.95,6
4780,16/03/2017 12:19,Puree,2,1.95,4
4756,12/03/2017 18:45,Chapati,1,1.95,14
4670,27/02/2017 20:56,Chapati,1,1.95,6
4611,19/02/2017 18:46,Chapati,2,1.95,7
4565,15/02/2017 20:50,Chapati,1,1.95,7
4505,09/02/2017 18:58,Chapati,1,1.95,4
4494,08/02/2017 15:58,Chapati,2,1.95,7
4456,03/02/2017 19:30,Chapati,1,1.95,8
4404,28/01/2017 16:51,Chapati,1,1.95,7
4379,26/01/2017 21:50,Chapati,1,1.95,5
4350,23/01/2017 19:11,Chapati,3,1.95,4
4322,20/01/2017 18:18,Puree,2,1.95,9
4286,15/01/2017 17:23,Puree,1,1.95,8
4269,13/01/2017 18:47,Chapati,1,1.95,4
4192,04/01/2017 18:23,Chapati,2,1.95,15
4170,02/01/2017 19:12,Chapati,2,1.95,7
4121,30/12/2016 16:56,Chapati,1,1.95,6
4083,24/12/2016 18:44,Chapati,2,1.95,18
4080,24/12/2016 15:40,Chapati,1,1.95,6
4037,20/12/2016 18:11,Chapati,1,1.95,6
3992,16/12/2016 18:52,Chapati,1,1.95,5
3977,15/12/2016 12:04,Puree,1,1.95,10
3945,10/12/2016 18:16,Chapati,1,1.95,5
3886,03/12/2016 18:01,Chapati,1,1.95,6
3883,03/12/2016 17:30,Chapati,3,1.95,9
3856,01/12/2016 17:13,Puree,1,1.95,8
3843,29/11/2016 20:04,Chapati,2,1.95,5
3840,28/11/2016 20:40,Chapati,1,1.95,5
3833,27/11/2016 18:55,Chapati,2,1.95,11
3832,27/11/2016 18:47,Chapati,1,1.95,4
3808,25/11/2016 20:03,Chapati,2,1.95,9
3784,23/11/2016 17:40,Chapati,1,1.95,6
3778,22/11/2016 18:28,Chapati,1,1.95,12
3645,08/11/2016 18:01,Chapati,2,1.95,4
3582,01/11/2016 17:20,Puree,2,1.95,5
3409,14/10/2016 19:58,Chapati,1,1.95,7
3396,14/10/2016 18:31,Chapati,1,1.95,5
3366,10/10/2016 19:45,Chapati,2,1.95,5
3355,09/10/2016 16:33,Chapati,1,1.95,6
3350,08/10/2016 18:37,Chapati,2,1.95,13
3301,02/10/2016 16:27,Chapati,3,1.95,10
3288,01/10/2016 18:59,Chapati,2,1.95,15
3219,24/09/2016 18:29,Chapati,1,1.95,6
3201,21/09/2016 18:48,Chapati,3,1.95,7
3151,14/09/2016 21:58,Chapati,1,1.95,7
3124,10/09/2016 13:09,Puree,1,1.95,5
3103,06/09/2016 18:49,Chapati,1,1.95,4
3074,03/09/2016 17:49,Chapati,1,1.95,6
3040,28/08/2016 21:40,Puree,1,1.95,6
3017,26/08/2016 18:06,Chapati,1,1.95,6
3008,24/08/2016 21:36,Chapati,4,1.95,3
2970,20/08/2016 20:02,Chapati,2,1.95,5
2969,20/08/2016 19:15,Chapati,1,1.95,4
2946,16/08/2016 18:13,Puree,2,1.95,11
2936,14/08/2016 18:10,Chapati,1,1.95,4
2935,14/08/2016 18:08,Puree,1,1.95,5
2896,11/08/2016 17:42,Puree,1,1.95,4
2849,05/08/2016 18:30,Chapati,1,1.95,9
2727,17/07/2016 23:05,Chapati,2,1.95,7
2712,19/06/2016 17:41,Puree,1,1.95,5
2704,18/06/2016 12:47,Puree,1,1.95,6
2692,16/06/2016 12:53,Chapati,2,1.95,5
2655,10/06/2016 18:03,Chapati,1,1.95,3
2653,09/06/2016 19:45,Chapati,2,1.95,9
2645,06/06/2016 21:10,Chapati,1,1.95,9
2643,05/06/2016 20:09,Chapati,1,1.95,6
2641,05/06/2016 18:24,Puree,1,1.95,4
2522,19/05/2016 18:07,Chapati,1,1.95,8
2512,16/05/2016 18:47,Chapati,2,1.95,4
2508,15/05/2016 19:00,Chapati,1,1.95,14
2500,14/05/2016 18:09,Puree,1,1.95,12
2432,03/05/2016 16:59,Puree,2,1.95,8
2425,02/05/2016 17:47,Chapati,1,1.95,9
2219,01/04/2016 18:35,Chapati,2,1.95,5
2211,30/03/2016 21:19,Puree,1,1.95,7
2199,28/03/2016 18:52,Chapati,1,1.95,9
2178,25/03/2016 17:36,Chapati,2,1.95,9
2099,18/03/2016 18:47,Chapati,6,1.95,5
2040,16/03/2016 11:31,Chapati,1,1.95,2
2019,15/03/2016 11:58,Puree,1,1.95,4
16037,29/07/2019 19:54,Tandoori Roti,1,2.6,5
16036,29/07/2019 19:44,Plain Naan,1,2.6,5
16013,27/07/2019 21:31,Plain Naan,2,2.6,3
16002,27/07/2019 18:56,Plain Naan,2,2.6,10
15998,27/07/2019 18:18,Plain Naan,2,2.6,7
15986,26/07/2019 22:15,Plain Naan,1,2.6,5
15934,23/07/2019 19:54,Plain Naan,2,2.6,3
15895,20/07/2019 19:47,Plain Naan,1,2.6,9
15891,20/07/2019 19:04,Plain Naan,1,2.6,6
15880,20/07/2019 17:22,Plain Naan,1,2.6,9
15877,19/07/2019 20:56,Plain Naan,1,2.6,9
15863,19/07/2019 18:17,Plain Naan,2,2.6,4
15844,18/07/2019 19:52,Plain Naan,1,2.6,4
15829,17/07/2019 17:36,Plain Naan,1,2.6,7
15820,16/07/2019 19:02,Plain Naan,3,2.6,7
15809,15/07/2019 21:30,Tandoori Roti,1,2.6,3
15799,14/07/2019 20:35,Plain Naan,1,2.6,4
15779,13/07/2019 21:33,Plain Naan,1,2.6,5
15778,13/07/2019 20:13,Plain Naan,1,2.6,6
15768,13/07/2019 18:42,Plain Naan,1,2.6,8
15767,13/07/2019 18:36,Plain Naan,1,2.6,8
15749,12/07/2019 19:21,Tandoori Roti,2,2.6,4
15740,12/07/2019 16:59,Plain Naan,4,2.6,5
15729,11/07/2019 18:27,Plain Naan,2,2.6,7
15723,10/07/2019 19:24,Plain Naan,2,2.6,8
15711,09/07/2019 17:41,Plain Naan,1,2.6,4
15708,08/07/2019 21:56,Plain Naan,1,2.6,7
15691,07/07/2019 18:40,Plain Naan,1,2.6,3
15682,06/07/2019 21:25,Plain Naan,1,2.6,6
15669,06/07/2019 19:02,Plain Naan,1,2.6,8
15665,06/07/2019 18:39,Plain Naan,1,2.6,9
15655,06/07/2019 17:15,Plain Naan,2,2.6,17
15649,05/07/2019 21:33,Plain Naan,1,2.6,4
15633,05/07/2019 17:56,Plain Naan,1,2.6,7
15630,05/07/2019 17:22,Plain Naan,2,2.6,10
15623,04/07/2019 19:02,Plain Naan,1,2.6,3
15621,04/07/2019 18:00,Plain Naan,1,2.6,4
15572,29/06/2019 21:25,Plain Naan,1,2.6,4
15569,29/06/2019 20:54,Plain Naan,2,2.6,4
15557,29/06/2019 18:13,Plain Naan,1,2.6,5
15541,28/06/2019 19:08,Plain Naan,1,2.6,4
15538,28/06/2019 18:50,Plain Naan,1,2.6,9
15519,26/06/2019 21:26,Plain Naan,1,2.6,5
15515,26/06/2019 18:40,Plain Naan,1,2.6,6
15514,26/06/2019 18:35,Plain Naan,1,2.6,5
15510,25/06/2019 20:05,Plain Naan,1,2.6,5
15489,23/06/2019 21:41,Plain Naan,2,2.6,3
15481,23/06/2019 18:21,Plain Naan,1,2.6,7
15415,19/06/2019 17:59,Plain Naan,1,2.6,9
15414,19/06/2019 17:52,Plain Naan,1,2.6,5
15388,17/06/2019 18:02,Plain Naan,1,2.6,9
15384,16/06/2019 21:16,Plain Naan,2,2.6,4
15383,16/06/2019 21:08,Plain Naan,2,2.6,9
15372,16/06/2019 18:17,Plain Naan,2,2.6,5
15356,15/06/2019 20:29,Tandoori Roti,1,2.6,7
15354,15/06/2019 20:17,Plain Naan,1,2.6,6
15328,14/06/2019 19:13,Plain Naan,1,2.6,5
15327,14/06/2019 18:39,Plain Naan,1,2.6,7
15321,14/06/2019 17:11,Plain Naan,1,2.6,5
15316,13/06/2019 18:50,Plain Naan,1,2.6,6
15311,13/06/2019 16:35,Plain Naan,1,2.6,7
15305,12/06/2019 17:23,Plain Naan,1,2.6,5
15299,11/06/2019 20:17,Plain Naan,2,2.6,4
15285,10/06/2019 17:09,Plain Naan,2,2.6,4
15260,08/06/2019 21:15,Plain Naan,1,2.6,5
